measured_on,ac_current__758,ac_power__752,ac_volts__757,ambient_temp__759,das_battery_voltage__769,das_temperature__764,dc_neg_current__756,dc_neg_voltage__755,dc_pos_current__754,dc_pos_voltage__753,dc_power_1__765,dc_power_2__766,dc_power__751,inverter_temp_2__770,inveter_temp__763,module_temp_1__760,module_temp_2__761,module_temp_3__762,poa_irradiance__750,system_id
2019-03-22 00:53:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,,50
2019-03-22 00:54:00,0.0,,0.0,,,0.0,,,,,0.0,,,,,,,,,50
2019-03-22 00:55:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,,50
2019-03-22 00:56:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 00:57:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 00:58:00,0.0,,0.0,,,0.0,,,,,0.0,,,,,,,,,50
2019-03-22 00:59:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,,50
2019-03-22 01:00:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 01:01:00,0.0,,0.0,,,0.0,,,,,0.0,,,,,,,,,50
2019-03-22 01:02:00,0.0,,0.0,,,0.0,,,,,0.0,,,,,,,,,50
2019-03-22 01:03:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 01:04:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,,50
2019-03-22 01:05:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 01:06:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 01:07:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 01:08:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,,50
2019-03-22 01:09:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 01:10:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 01:11:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 01:12:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,,50
2019-03-22 01:13:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 01:14:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 01:15:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 01:16:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 01:17:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 01:18:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 01:19:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 01:20:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,,50
2019-03-22 01:21:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 01:22:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 01:23:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 01:24:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 01:25:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,,50
2019-03-22 01:26:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,,50
2019-03-22 01:27:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 01:28:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,,50
2019-03-22 01:29:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,,50
2019-03-22 01:30:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,,50
2019-03-22 01:31:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 01:32:00,0.0,,0.0,,,0.0,,,,0.0,0.0,,,,,,,,,50
2019-03-22 01:33:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 01:34:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,,50
2019-03-22 01:35:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,,50
2019-03-22 01:36:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,,50
2019-03-22 01:37:00,0.0,,0.0,,,0.0,,,,0.0,0.0,,,,,,,,,50
2019-03-22 01:38:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,,50
2019-03-22 01:39:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 01:40:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 01:41:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 01:42:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,,50
2019-03-22 01:43:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,,50
2019-03-22 01:44:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 01:45:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,,50
2019-03-22 01:46:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,,50
2019-03-22 01:47:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 01:48:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,,50
2019-03-22 01:49:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 01:50:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,,50
2019-03-22 01:51:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,,50
2019-03-22 01:52:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 01:53:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 01:54:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,,50
2019-03-22 01:55:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,,50
2019-03-22 01:56:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,,50
2019-03-22 01:57:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,,50
2019-03-22 01:58:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 01:59:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,,50
2019-03-22 02:00:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,,50
2019-03-22 02:01:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,,50
2019-03-22 02:02:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 02:03:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 02:04:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 02:05:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 02:06:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,,50
2019-03-22 02:07:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 02:08:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 02:09:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 02:10:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 02:11:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 02:12:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 02:13:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 02:14:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,20.0,,,,50
2019-03-22 02:15:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,,50
2019-03-22 02:16:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 02:17:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,,50
2019-03-22 02:18:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 02:19:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,,50
2019-03-22 02:20:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 02:21:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 02:22:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,,50
2019-03-22 02:23:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,,50
2019-03-22 02:24:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,,50
2019-03-22 02:25:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 02:26:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 02:27:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,,50
2019-03-22 02:28:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 02:29:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 02:30:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,,50
2019-03-22 02:31:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 02:32:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 02:33:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,,50
2019-03-22 02:34:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,20.0,,,,50
2019-03-22 02:35:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 02:36:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 02:37:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 02:38:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,,50
2019-03-22 02:39:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 02:40:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 02:41:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 02:42:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 02:43:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 02:44:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 02:45:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 02:46:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,,50
2019-03-22 02:47:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 02:48:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 02:49:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 02:50:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 02:51:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 02:52:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,,50
2019-03-22 02:53:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 02:54:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 02:55:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 02:56:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 02:57:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 02:58:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 02:59:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 03:00:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,,50
2019-03-22 03:01:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,,50
2019-03-22 03:02:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 03:03:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 03:04:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 03:05:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 03:06:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 03:07:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 03:08:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 03:09:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 03:10:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,,50
2019-03-22 03:11:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,,50
2019-03-22 03:12:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 03:13:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 03:14:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 03:15:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 03:16:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 03:17:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 03:18:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 03:19:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 03:20:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 03:21:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,,50
2019-03-22 03:22:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 03:23:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,,50
2019-03-22 03:24:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 03:25:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,,50
2019-03-22 03:26:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 03:27:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 03:28:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 03:29:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 03:30:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,,50
2019-03-22 03:31:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 03:32:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 03:33:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 03:34:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 03:35:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 03:36:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,,50
2019-03-22 03:37:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 03:38:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 03:39:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,,50
2019-03-22 03:40:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,,50
2019-03-22 03:41:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 03:42:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,,50
2019-03-22 03:43:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 03:44:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 03:45:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,,50
2019-03-22 03:46:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 03:47:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 03:48:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,,50
2019-03-22 03:49:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,,50
2019-03-22 03:50:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 03:51:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 03:52:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 03:53:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 03:54:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 03:55:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,,50
2019-03-22 03:56:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,,50
2019-03-22 03:57:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,,50
2019-03-22 03:58:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,,50
2019-03-22 03:59:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,,50
2019-03-22 04:00:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,,50
2019-03-22 04:01:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 04:02:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 04:03:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,,50
2019-03-22 04:04:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,,50
2019-03-22 04:05:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,,50
2019-03-22 04:06:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 04:07:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 04:08:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 04:09:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,,50
2019-03-22 04:10:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,,50
2019-03-22 04:11:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 04:12:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 04:13:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 04:14:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 04:15:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,,50
2019-03-22 04:16:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 04:17:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 04:18:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,,50
2019-03-22 04:19:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 04:20:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 04:21:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,,50
2019-03-22 04:22:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,,50
2019-03-22 04:23:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,,50
2019-03-22 04:24:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,,50
2019-03-22 04:25:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,,50
2019-03-22 04:26:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 04:27:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,,50
2019-03-22 04:28:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,,50
2019-03-22 04:29:00,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,,50
2019-03-22 04:30:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
2019-03-22 04:31:00,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,50
