measured_on,ac_current__427,ac_power__423,ac_voltage__426,ambient_temp__428,das_battery_voltage__434,das_temp__433,dc_pos_current__425,dc_pos_voltage__424,dc_power__422,inverter_temp__432,module_temp_1__429,module_temp_2__430,module_temp_3__431,poa_irradiance__421,system_id
2020-04-15 00:00:00,1.6454,-1.1313,122.06,-0.03363,13.618,1.7454,-0.0435499999999999,0.0974799999999999,-0.0077499999999999,-0.68367,-2.7131,-2.5772,-2.1163,-3.3172,10
2020-04-15 00:01:00,1.6445,-1.1423,122.08,0.2016999999999999,13.62,1.7352,-0.04483,1.214,-0.05645,-0.6918499999999999,-2.6469,-2.5296,-2.0238,-3.0131,10
2020-04-15 00:02:00,1.6437,-1.1867,122.08,0.35565,13.621,1.7197,-0.0506899999999999,1.1786,-0.06157,-0.67459,-2.6103,-2.5295,-2.0343,-2.7367,10
2020-04-15 00:03:00,1.6467,-1.1534,122.0,0.48497,13.621,1.6975,-0.0475799999999999,0.24812,-0.01519,-0.61582,-2.6313,-2.5591,-2.0332,-2.7091,10
2020-04-15 00:04:00,1.6456,-1.1867,122.03,0.53314,13.621,1.6821,-0.04227,0.04431,0.00114,-0.61135,-2.7134,-2.6097,-2.1109,-2.8473,10
2020-04-15 00:05:00,1.6456,-1.1867,122.12,0.20633,13.619,1.6735,-0.04465,0.83298,-0.03764,-0.65341,-2.8637,-2.7199,-2.2474,-2.9302,10
2020-04-15 00:06:00,1.6473,-1.22,122.12,-0.33825,13.62,1.665,-0.04685,0.7089199999999999,-0.0351599999999999,-0.69691,-2.8666,-2.8215,-2.3982,-3.0684,10
2020-04-15 00:07:00,1.6451,-1.1534,122.16,-0.52939,13.62,1.641,-0.0459299999999999,0.0,0.00139,-0.76516,-3.0139,-2.8708,-2.4753,-3.2619,10
2020-04-15 00:08:00,1.6456,-1.1867,122.11,-0.57499,13.621,1.629,-0.04374,0.01772,-0.0006099999999999,-0.7956999999999999,-3.0954,-3.0088,-2.6304,-3.2343,10
2020-04-15 00:09:00,1.6462,-1.2311,122.12,-0.6074899999999999,13.622,1.6119,-0.04227,0.37218,-0.01536,-0.85206,-3.1549,-3.1621,-2.8128,-3.3173,10
2020-04-15 00:10:00,1.6443,-1.1645,122.16,-0.66675,13.622,1.593,-0.04191,-0.49625,0.01299,-0.91657,-3.3802,-3.2291,-2.8912,-3.3173,10
2020-04-15 00:11:00,1.6459,-1.1756,122.11,-0.6446399999999999,13.624,1.5828,-0.04392,0.06646,-0.00529,-0.94326,-3.3483,-3.2229,-2.928,-3.3172,10
2020-04-15 00:12:00,1.6454,-1.1756,122.12,-0.53961,13.624,1.5725,-0.04136,0.25255,-0.01616,-0.91081,-3.249,-3.1752,-2.8561,-3.3172,10
2020-04-15 00:13:00,1.6451,-1.1534,122.02,-0.3547699999999999,13.625,1.5536,-0.0451999999999999,-0.01772,-0.00581,-0.83572,-3.054,-3.0089,-2.6927,-3.3172,10
2020-04-15 00:14:00,1.6451,-1.1645,122.06,-0.2147699999999999,13.626,1.5365,-0.0431899999999999,-0.01772,-0.0022699999999999,-0.80307,-3.0312,-3.0026,-2.6263,-3.262,10
2020-04-15 00:15:00,1.6459,-1.1423,121.99,-0.0699499999999999,13.626,1.5177,-0.04648,0.0398799999999999,-0.00127,-0.8291199999999999,-3.0889,-2.9107,-2.5216,-3.179,10
2020-04-15 00:16:00,1.6454,-1.1313,122.05,-0.2381699999999999,13.626,1.5177,-0.04795,-0.41649,0.02254,-0.8426599999999999,-3.1089,-3.0073,-2.6053,-2.9302,10
2020-04-15 00:17:00,1.6456,-1.1645,122.07,-0.5261099999999999,13.626,1.504,-0.0481299999999999,0.11963,-0.00807,-0.89987,-3.1485,-3.0784,-2.682,-2.8197,10
2020-04-15 00:18:00,1.6454,-1.1423,121.94,-0.6600399999999998,13.627,1.4869,-0.0508699999999999,-0.3456,0.01989,-0.92704,-3.1472,-3.1057,-2.7644,-2.7644,10
2020-04-15 00:19:00,1.6451,-1.1645,121.94,-0.76275,13.626,1.4715,-0.0481299999999999,-0.2569799999999999,0.01487,-0.95891,-3.2487,-3.1248,-2.7806,-2.9579,10
2020-04-15 00:20:00,1.6451,-1.1202,122.04,-0.85335,13.627,1.4475,-0.0441,0.57157,-0.02032,-1.0279,-3.323,-3.2128,-2.8714,-2.9579,10
2020-04-15 00:21:00,1.6451,-1.2311,122.01,-0.97172,13.627,1.4372,-0.0435499999999999,0.3588899999999999,-0.0155099999999999,-1.066,-3.4129,-3.2418,-2.9762,-3.0685,10
2020-04-15 00:22:00,1.6462,-1.1867,122.05,-1.2018,13.627,1.4252,-0.0386099999999999,-0.23926,0.0073299999999999,-1.1208,-3.41,-3.3505,-3.1307,-3.1791,10
2020-04-15 00:23:00,1.6462,-1.1756,121.97,-1.3326,13.63,1.4133,-0.0402599999999999,-0.29243,0.0094199999999999,-1.1713,-3.5245,-3.364,-3.1048,-2.875,10
